,Country Name,Country Code,Year,Population,Period life expectancy at birth,Infant Mortality,GDP Per Capita,GNP Per Capita,PPP Per Capita,Continent,Log GDP Per Capita,Log GNP Per Capita,Log PPP Per Capita
0,Aruba,ABW,1962,56320.0,64.6,,,,,North America,,,
1,Afghanistan,AFG,1962,9404406.0,33.76,245.4,,,,Asia,,,
2,Angola,AGO,1962,5354310.0,37.17,,,,,Africa,,,
3,Albania,ALB,1962,1711319.0,58.49,,,,,Europe,,,
4,Andorra,AND,1962,11086.0,72.99,,,,,Europe,,,
5,United Arab Emirates,ARE,1962,144946.0,52.55,131.2,,,,Asia,,,
6,Argentina,ARG,1962,21072538.0,64.62,,1160.31,,,South America,7.056439557781467,,
7,Armenia,ARM,1962,1991689.0,60.0,,,,,Europe,,,
8,American Samoa,ASM,1962,21298.0,66.01,,,,,Oceania,,,
9,Antigua and Barbuda,ATG,1962,57336.0,64.0,54.6,,,,North America,,,
10,Australia,AUS,1962,10742000.0,70.91,19.5,1854.75,1870.0,,Oceania,7.525503121549017,7.533693709848633,
11,Austria,AUT,1962,7129864.0,69.5,32.9,1093.01,1080.0,,Europe,6.996694471272212,6.984716320118266,
12,Azerbaijan,AZE,1962,4168150.0,52.05,,,,,Europe,,,
13,Burundi,BDI,1962,2907943.0,43.49,,73.42,70.0,,Africa,4.296190901412967,4.248495242049359,
14,Belgium,BEL,1962,9220578.0,70.23,27.1,1457.27,1480.0,,Europe,7.284316786879216,7.299797366758161,
15,Benin,BEN,1962,2604659.0,39.64,157.1,90.77,90.0,,Africa,4.508371369799453,4.499809670330265,
16,Burkina Faso,BFA,1962,4919672.0,36.75,168.6,77.15,80.0,,Africa,4.345789529207871,4.382026634673881,
17,Bangladesh,BGD,1962,54881146.0,45.77,168.4,92.59,,,Asia,4.528174892976234,,
18,Bulgaria,BGR,1962,8012946.0,69.53,36.8,,,,Europe,,,
19,Bahrain,BHR,1962,179349.0,53.89,135.8,,,,Asia,,,
20,Bosnia and Herzegovina,BIH,1962,3407532.0,60.12,,,,,Europe,,,
21,Belarus,BLR,1962,8351928.0,70.46,30.2,,,,Europe,,,
22,Belize,BLZ,1962,96042.0,58.74,,331.7,330.0,,North America,5.804245399679504,5.799092654460526,
23,Bermuda,BMU,1962,44239.0,67.88,,1824.18,,,North America,7.5088871012777325,,
24,Bolivia,BOL,1962,3857493.0,44.0,181.5,115.08,,,South America,4.745619366522261,,
25,Brazil,BRA,1962,76865323.0,54.02,120.4,250.2,260.0,,South America,5.5222628878394335,5.560681631015528,
26,Barbados,BRB,1962,235224.0,65.72,61.1,377.44,520.0,,North America,5.933407525487302,6.253828811575473,
27,Bhutan,BTN,1962,237636.0,36.99,,,,,Asia,,,
28,Botswana,BWA,1962,540186.0,52.31,112.8,65.99,70.0,,Africa,4.189449422501068,4.248495242049359,
29,Central African Republic,CAF,1962,1768115.0,40.56,153.5,70.4,70.0,,Africa,4.25425333619611,4.248495242049359,
30,Canada,CAN,1962,18614000.0,71.24,26.0,2274.43,2380.0,,North America,7.729484078205636,7.77485576666552,
31,Switzerland,CHE,1962,5573815.0,71.3,20.7,2330.48,2160.0,,Europe,7.753828403264024,7.67786350067821,
32,Chile,CHL,1962,8497059.0,57.81,117.0,662.73,590.0,,South America,6.4963729119160485,6.380122536899765,
33,China,CHN,1962,665770000.0,50.96,,70.91,70.0,,Asia,4.261399514530549,4.248495242049359,
34,Côte d'Ivoire,CIV,1962,3956939.0,38.62,198.1,163.08,160.0,,Africa,5.094220517547086,5.075173815233827,
35,Cameroon,CMR,1962,5338620.0,42.6,166.3,130.04,,,Africa,4.867861857418657,,
36,Colombia,COL,1962,16599029.0,57.74,90.3,298.54,290.0,,South America,5.698916862544896,5.66988092298052,
37,Comoros,COM,1962,204702.0,41.53,,,,,Africa,,,
38,Costa Rica,CRI,1962,1429445.0,64.23,69.1,335.22,360.0,,North America,5.814791772984563,5.886104031450156,
39,Cuba,CUB,1962,7541098.0,64.37,36.9,,,,North America,,,
40,Curacao,CUW,1962,128414.0,66.03,,,,,North America,,,
41,Cayman Islands,CYM,1962,8781.0,60.09,,,,,North America,,,
42,Cyprus,CYP,1962,601466.0,64.72,,,,,Europe,,,
43,Czechia,CZE,1962,9624660.0,69.89,20.8,,,,Europe,,,
44,Germany,DEU,1962,74025784.0,70.0,,1430.52,1370.0,,Europe,7.265793961220782,7.222566018822171,
45,Djibouti,DJI,1962,93283.0,44.09,,,,,Africa,,,
46,Dominica,DMA,1962,60948.0,61.89,69.7,,,,North America,,,
47,Denmark,DNK,1962,4647727.0,72.35,20.3,1711.22,1630.0,,Europe,7.444960757092692,7.396335293800808,
